#  Law   Rv   RIvi    RHvi   A_V   A_I   A_H
     CCM89     2.700     1.287     0.388     1.002     0.564     0.170
     CCM89     2.900     1.367     0.416     1.002     0.578     0.176
     CCM89     3.100     1.441     0.442     1.001     0.591     0.181
     CCM89     3.300     1.510     0.466     1.001     0.602     0.186
     CCM89     3.500     1.575     0.489     1.000     0.612     0.190
       F99     2.700     1.175     0.374     0.976     0.527     0.168
       F99     2.900     1.227     0.380     0.978     0.539     0.167
       F99     3.100     1.274     0.385     0.979     0.549     0.166
       F99     3.300     1.318     0.390     0.981     0.558     0.165
       F99     3.500     1.358     0.394     0.982     0.565     0.164
      FM07     3.100     1.175     0.315     1.004     0.542     0.145
